Id,Time,MF01,MF02,MF03,MF04,MF05
1,3/9/2023 1:43:21 PM,37.92477,0,0,0,1422.179
2,3/9/2023 1:44:42 PM,37.92477,721.3843,0,0,1422.179
3,3/9/2023 1:44:44 PM,37.92477,170.0952,0,0,1422.179
4,3/9/2023 1:44:46 PM,37.92477,158.0193,0,0,1422.179
5,3/9/2023 1:44:50 PM,37.92477,0,0,0,1422.179
6,3/9/2023 1:49:31 PM,,,,,
7,3/9/2023 1:49:57 PM,37.92477,0,0,0,1422.179
8,3/9/2023 1:50:14 PM,37.92477,434.2484,0,0,1422.179
9,3/9/2023 1:50:16 PM,37.92477,443.519,0,0,1422.179
10,3/9/2023 1:50:18 PM,37.92477,263.6078,0,0,1422.179
11,3/9/2023 1:50:20 PM,37.92477,62.62874,0,0,1422.179
12,3/9/2023 1:50:24 PM,37.92477,0,0,0,1422.179
13,3/9/2023 1:50:38 PM,37.92477,720.6041,0,0,1422.179
14,3/9/2023 1:50:40 PM,37.92477,101.7753,0,0,1422.179
15,3/9/2023 1:50:42 PM,37.92477,566.3302,0,0,1422.179
16,3/9/2023 1:50:44 PM,37.92477,34.38895,0,0,1422.179
17,3/9/2023 1:50:48 PM,37.92477,0,0,0,1422.179
18,3/9/2023 2:02:07 PM,37.92477,49.90881,0,0,1422.179
19,3/9/2023 2:02:09 PM,37.92477,49.15884,0,0,1422.179
20,3/9/2023 2:02:13 PM,37.92477,0,0,0,1422.179
21,3/9/2023 2:02:17 PM,37.92477,519.1557,0,0,1422.179
22,3/9/2023 2:02:19 PM,37.92477,58.51033,0,0,1422.179
23,3/9/2023 2:02:23 PM,37.92477,0,0,0,1422.179
24,3/9/2023 2:02:43 PM,37.92477,773.7635,0,0,1422.179
25,3/9/2023 2:02:45 PM,37.92477,69.11308,0,0,1422.179
26,3/9/2023 2:02:49 PM,37.92477,0,0,0,1422.179
27,3/9/2023 2:04:29 PM,37.92477,0,492.4284,0,1422.179
28,3/9/2023 2:04:31 PM,37.92477,0,64.38243,0,1422.179
29,3/9/2023 2:04:35 PM,37.92477,0,0,0,1422.179
30,3/9/2023 2:04:43 PM,37.92477,0,76.00919,0,1422.179
31,3/9/2023 2:04:47 PM,37.92477,0,0,0,1422.179
32,3/9/2023 2:05:27 PM,37.92477,0,0,16.14064,1422.179
33,3/9/2023 2:05:31 PM,37.92477,0,0,0,1422.179
34,3/9/2023 2:05:39 PM,37.92477,0,0,1053.261,1422.179
35,3/9/2023 2:05:41 PM,37.92477,0,0,75.92831,1422.179
36,3/9/2023 2:05:45 PM,37.92477,0,0,0,1422.179
37,3/9/2023 2:19:58 PM,0,0,0,0,0
38,3/9/2023 2:20:54 PM,37.92477,0,0,0,1422.179
39,3/9/2023 2:21:26 PM,0,0,0,0,0
40,3/9/2023 2:23:57 PM,37.92477,0,0,0,1422.179
41,3/9/2023 2:24:31 PM,0,0,0,0,0
42,3/9/2023 2:35:32 PM,37.92477,0,0,0,1422.179
43,3/9/2023 2:36:18 PM,0,0,0,0,0
44,3/9/2023 2:39:17 PM,37.92477,0,0,0,1422.179
45,3/9/2023 2:39:51 PM,0,0,0,0,0
46,3/9/2023 2:40:45 PM,37.92477,0,0,0,1422.179
47,3/9/2023 2:41:25 PM,0,0,0,0,0
48,3/9/2023 2:42:52 PM,,,,,
49,3/9/2023 2:43:24 PM,0,0,0,0,0
50,3/9/2023 2:46:36 PM,37.92477,0,0,0,1422.179
51,3/9/2023 2:47:10 PM,0,0,0,0,0
52,3/9/2023 2:48:28 PM,37.92477,0,0,0,1422.179
53,3/9/2023 2:49:08 PM,0,0,0,0,0
54,3/9/2023 3:00:45 PM,,,,,
55,3/9/2023 3:01:13 PM,0,0,0,0,0
